"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2024/05/28","ジドウキ (イ-ネツト)","-10000","横浜銀行","現金・カード","ATM引き出し","","0","KDnFXyO4uzABZbgegu9BLty-vdGX8vcw_uRaYnClNEU"
"1","2024/05/27","CLINIC TEN","-1080","ポケットカード","未分類","未分類","","0","h4YTIreqQEA4RGkS7XZ9psb4LLbuHkHiatxXanyreGY"
"1","2024/05/27","渋谷駅前おおしま皮膚科","-1830","ポケットカード","未分類","未分類","","0","N7Dt6tiGdpEFdv1IbUl0MpNcCtuC7bEOr8e-PU4hH4g"
"1","2024/05/27","コウザフリカエ ペイペイ チヤ-ジ","-1600","横浜銀行","現金・カード","電子マネー","","0","cesAay3WF0Xwf92tqc1452VlFR-cF68HOV72uBYK_Tw"
"1","2024/05/27","コウザフリカエ DF.バイクパ-ク","-9130","横浜銀行","未分類","未分類","","0","gcHXD4voPO8kZDIBnLxtKJDxgYaystuagYomvIKEsnQ"
"1","2024/05/27","クレジツト ラクテンカ-ドサ-ビス","-62218","横浜銀行","現金・カード","カード引き落とし","","0","-kbEfzef7SmjRR9MYbMhEHK7LcXEBpeVTaQkwhxb8Uo"
"1","2024/05/27","コウザフリカエ AP(インサイト.ヤチン","-77330","横浜銀行","住宅","家賃・地代","","0","faM5XzFoUlprfh0hWXIoh49J2MJnJyWP6EzLUD2qkx8"
"1","2024/05/27","コウザフリカエ オリコ","-3400","横浜銀行","現金・カード","カード引き落とし","","0","cUaAtP7OMSaUfJkf6aYxp9uzsstlszqg0UR7wl2Fkmk"
"1","2024/05/27","コウザフリカエ ニホンガクセイシエンキ","-6599","横浜銀行","教養・教育","学費","","0","4gdrA1PCcsckkjd5qyFQQ4qaPM2LjKNKP2Ne3wURHHo"
"1","2024/05/27","ゴヘンサイ","-12809","横浜銀行","住宅","ローン返済","","0","W_NwVOK-d_oWuF_lbBiAv0Q-vxJONl0w6_0uO2FhV8U"
"1","2024/05/27","テスウリヨウ","-165","横浜銀行","その他","雑費","","0","l4Osp-oFXuxibI6Nzvk2aQQpx7MP2QIQuUhSBI6TKLE"
"1","2024/05/27","インタ-ネツト クドウ リク","-10000","横浜銀行","通信費","インターネット","","0","due1xfdc9DcCbf8ZgokoCbEME0g_7aybqDfAu8Kqa8I"
"1","2024/05/26","サイゼリヤ","-2350","ポケットカード","食費","外食","","0","XD7ExQmgi53GAS03bSSyEZzWgCl8zbBDheQD1gF_zto"
"1","2024/05/26","ENEOSーSS","-1440","ポケットカード","自動車","ガソリン","","0","fqurLDDwXTA3n-bf7YD6kzMd1jTcUyB6XZDBwqxU-O8"
"1","2024/05/26","ササキ アキムネ","20000","横浜銀行","未分類","未分類","","0","Tmg3XtUNkFxwxi3cjfyOd0VYf3-929_t47RR52w0E34"
"1","2024/05/25","GO(タクシーアプリ)*アプリ配車","-1100","ポケットカード","交通費","タクシー","","0","OusfJ9BLBmu-6QbvVx9fXJQscUHz9RW8ZjMgzg1jxUE"
"1","2024/05/25","伊勢路 飯田橋店","-6105","ポケットカード","未分類","未分類","","0","sJc0CScCbT7ygSHQRW0-HPdyAlTYv0byDKE1Ye1n7_Y"
"1","2024/05/25","AP/Suica(携帯決済)","-5000","ポケットカード","現金・カード","電子マネー","","0","UpkQQGTqsbC0T68VJADT1Ucqti8BQIiN5tSCt_7AteI"
"1","2024/05/25","AP/SUITSELECT","-5390","ポケットカード","未分類","未分類","","0","u4E8oY-ds-dAzWPk7LdCoMHJt74zLhgqWl9ghb6wGxk"
"1","2024/05/24","akippa","-759","ポケットカード","自動車","駐車場","","0","xsstb_Q43tTJ8H5hdRRonZ6U-B-AiziSc_s6g9NmwXs"
"1","2024/05/24","トトト","-7200","ポケットカード","未分類","未分類","","0","THAhR8GfHkBF_j2-YwEWxNTsDzLBpbRhkFL1Q5lzafw"
"1","2024/05/24","キユウリヨウ カブシキガイシヤライフネクスト","252822","横浜銀行","収入","給与","","0","RgWzRdE30spOB1-UyJs3WXM0dKJQmmJhbdIWfgqJg58"
"1","2024/05/23","APPLE COM BILL","-400","ポケットカード","通信費","その他通信費","","0","sI3g4t8r3sSSf_2iTAhfcGKMpZE1xYA-8kTXnYHB3MA"
"1","2024/05/22","割引","173","Amazon.co.jp","未分類","未分類","","0","DZLe-CqvaF4k9gcY1UvTd4Q-LCMeufsJnleAh_0LATI"
"1","2024/05/22","ザバス(SAVAS) ソイプロテイン100 ココア味 900g 明治 販売: Amazon.co.jp","-3450","Amazon.co.jp","未分類","未分類","","0","s2FV5TF8Y5vK-A4quSR_4aHXin35ZNafiZl6Q4mwuyw"
"0","2024/05/22","AMAZON.CO.JP","-3277","ポケットカード","教養・教育","書籍","","1","XjnGCb85CydIwKsB23gdUZrvlaZZypXtjKDJYPrOl1s"
"1","2024/05/21","AP/ダイエー下北沢","-977","ポケットカード","食費","食料品","","0","IcU6eH0h4jZ3mbNRiC5xG62xUwr_HqQAR47WtwYOo9Q"
"1","2024/05/20","AP/ダイエー下北沢","-3507","ポケットカード","食費","食料品","","0","dNRj-rWRXG79gQSGgPE6dO1-CjTb9eabSVBl8bAofms"
"1","2024/05/20","AP/TWITTER PAID FEAT","-980","ポケットカード","未分類","未分類","","0","7NeWaKfGB0bk5eTZ4fwr9cPlJret4r-L-x0yUH4nD4g"
"1","2024/05/19","AP/フアミリーマートニシダサンチヨウ","-1080","ポケットカード","食費","食料品","","0","ormQ1rPgiXQQAIWEl0g29989cxgbOeX1eENmRcei90Q"
"1","2024/05/19","AP/フアミリーマートゴフクマチ","-642","ポケットカード","食費","食料品","","0","3IVOBscBT4qFcse0AwbBdBnbbbas2CiCRAfoOypBKwk"
"1","2024/05/19","鹿児島中央BT乗車券売機","-2800","ポケットカード","交通費","バス","","0","OK7RwjCMv2aCYCoOxSlp2LfLxGyA0inWIR3P8cODN2c"
"1","2024/05/19","AP/マルヤガーデンズ マルシェ","-4647","ポケットカード","未分類","未分類","","0","fYbmC9xhKa7VJF17gB5LHyuZ5Cf0Lk40j61bA8_28dI"
"1","2024/05/19","鹿児島第一交通 鹿児島営業所/カード","-700","ポケットカード","交通費","タクシー","","0","41hukmoZS04qHwuXpL8qx7Cr9efJOqPW4JPbeSqICPs"
"1","2024/05/19","AP/Suica(携帯決済)","-5000","ポケットカード","現金・カード","電子マネー","","0","NzVa0H-v0hWuaYzuyT_g98TS8shRDbnynMs2G_zk4AQ"
"1","2024/05/19","ヤマカタヤ イチゴウテン","-1922","ポケットカード","未分類","未分類","","0","lHX29O8lKFainMKemPcOvbjJcJ0OQXWkaw-1c3JDjdg"
"1","2024/05/19","AP/FVジャパン","-130","ポケットカード","未分類","未分類","","0","2CU00Rq2kNnod3mXHeXi1C0qQqaVOFwqBBXF7CY632U"
"1","2024/05/19","AP/南州タクシー","-1250","ポケットカード","交通費","タクシー","","0","gdKwpO6MvG8rY-6i2I5OeJnrSViDLv1wQln31swGPTA"
"1","2024/05/19","AP/ダイソー","-1873","ポケットカード","未分類","未分類","","0","e1k4rThO1FBZOQQCJ3v9uj1y1I3TmLgucbcFZZBbtPs"
"1","2024/05/19","AP/ST*ChargeSPOT","-450","ポケットカード","未分類","未分類","","0","GLZh-NHy3WxmCuejl4vwpYZ59p2ZKrdB009ceaC0sO0"
"1","2024/05/18","徳永タクシー","-700","ポケットカード","交通費","タクシー","","0","ixeFYATrZCHElvqyMQQe2wP9oo8QCgSCiBKFAnWe1fo"
"1","2024/05/18","ST*forent株式会社","-7000","ポケットカード","未分類","未分類","","0","WVi9Tl2N9rTXFmBYzPv9SxP1M953UFb0XjoEnyZgv3w"
"1","2024/05/18","協同組合 鹿児島空港バス案内所","-1400","ポケットカード","食費","外食","","0","11aSF-xWXgbnQ7_MUeKWFFweC7ta95OrjNbtx9IUQcM"
"1","2024/05/18","天文館むじゃき1F外売り","-500","ポケットカード","未分類","未分類","","0","eP2cvT2Da6SEOPpxOuIUeIzp5mX2pu3tcvSfP4gXGlQ"
"1","2024/05/18","ホテルタイセイ","-9000","ポケットカード","趣味・娯楽","旅行","","0","eVE7NnjQazn7VcsHpT5821T6tXuFyCb21Jev4BEYZK8"
"1","2024/05/18","国際自動車","-7540","ポケットカード","交通費","タクシー","","0","fAcm52D2m3WvlxHO9ZAjE_b0kl5kEM25wAtj3v3BKDE"
"1","2024/05/18","カンダマグロギヨコウ","-4224","ポケットカード","未分類","未分類","","0","n6FHb516DIV5sTSDOKvjf_vT6iQicBqmNRI6e3PShDY"
"1","2024/05/18","ケイセイスカイライナー","-2580","ポケットカード","交通費","電車","","0","v5glu1nAdvjBrSNuRukaDxMQDObopx52qcDwTYB8wdk"
"1","2024/05/18","AP/セブンイレブンカゴシマテンモ","-540","ポケットカード","食費","食料品","","0","NERL-2b_0Pb4tIlT-uCsmW1-ti0e9kUGuPHPoRWuexc"
"1","2024/05/17","ソフトバンクMオンライン料金決済","-7032","ポケットカード","通信費","携帯電話","","0","dsaeNfLpJ27Ts1Sw3QWs8xcCBzxE9iTk2laWmkE3y78"
"1","2024/05/17","AP/ダイエー下北沢","-1406","ポケットカード","食費","食料品","","0","cqC9uK9BIETt0kN7xPG_i0-lJtR9s4siuC_dg1c2fOY"
"1","2024/05/16","モン","-8184","ポケットカード","未分類","未分類","","0","NmiLQ6PNcuCp2V2yvYYFZmsU336C8CphOCnBNOc38o0"
"1","2024/05/15","SQ*すこーる","-9080","ポケットカード","未分類","未分類","","0","Cyr2BA7oitw3lfWdTHBe_fZodQFYRi4Pm6aTpSj4aPc"
"1","2024/05/15","AP/Suica(携帯決済)","-5000","ポケットカード","現金・カード","電子マネー","","0","75T1ERR-uLf-Wd4GDemIwmB_18lJkXyZP-lKAb21vzw"
"1","2024/05/13","ADOBE *PREMIERE PRO","-2728","ポケットカード","その他","事業経費","","0","EeBfrPGJjlRdN_yilKtGH_dUQYVD7MMla4hZoz8RZzw"
"1","2024/05/12","十七番地下北沢店","-6720","ポケットカード","未分類","未分類","","0","FBxeuA8YV9IoNRxAS0ZBokP6d4osRrYw-EtGvitsJ7M"
"1","2024/05/12","AP/フアミリーマートシモキタザワエキ","-530","ポケットカード","食費","食料品","","0","KtzgcNz7bLQnEGNGWUtsvR3QgeOUqbD0b7gP71itu3Y"
"1","2024/05/12","SQ*フヅクエ下北沢","-2480","ポケットカード","未分類","未分類","","0","Siqb_17O2r00G7VjBVYl-btreQpNeQ-q58zrtjmuSsA"
"1","2024/05/12","テトラトウキヨウ","-9480","ポケットカード","未分類","未分類","","0","Afw9QBcT0cVLj_waTLpHKaY7Omd76LJkUoI8RfkNhJU"
"1","2024/05/12","AP/ドン・キホーテ下北沢店","-658","ポケットカード","日用品","日用品","","0","KozDsS4xB_TctAW-c50SwAeLk_BJVSQ4jZpg9Zew1-o"
"1","2024/05/12","AP/セブンイレブンシモキタザワエ","-2505","ポケットカード","食費","食料品","","0","5SwWBfNDxBf08sSDzbit02p68WJEEKNlAmbwS_OBgjs"
"1","2024/05/12","AP/北沢小西","-620","ポケットカード","未分類","未分類","","0","zjqL-45Fwd_5lDUVdqZ00AMU7_nG9TqChe_EF1t-wOg"
"1","2024/05/11","餃子マニア 品川別館/NFC","-5890","ポケットカード","食費","外食","","0","cvBRKKht3JxCJqO1qEBjDCgDS8siinsVY8zapHAu1VA"
"1","2024/05/10","AP/ダイエー下北沢","-838","ポケットカード","食費","食料品","","0","4ubsTpQMvrLzOY9E1ED4u1YYc4TYVN91HALol7-eyBE"
"1","2024/05/10","アロマ","-4100","ポケットカード","未分類","未分類","","0","kKtJMzYSKHLaIheWaiovUkFhTy1KKlyigNjonVxVm30"
"1","2024/05/09","AP/フアミリーマートシモキタザワエキ","-580","ポケットカード","食費","食料品","","0","17uVEdUEvwSzsBnAqLhxlBvRCJ3z-WcQwi5U-4Se2lk"
"1","2024/05/09","アロマ","-7800","ポケットカード","未分類","未分類","","0","KTYXDo362V7BI9edH-VAGdwJA6ktjMq21qjnY7cqfdk"
"1","2024/05/09","AP/セブンイレブンセタガヤシモキ","-349","ポケットカード","食費","食料品","","0","ArVBk4kEWaN_-0d_Q7niitCMbWsmCrI9kggrL6-c0Uo"
"1","2024/05/09","AP/ドン・キホーテ下北沢店","-3113","ポケットカード","日用品","日用品","","0","21Ixmv3JwOZv7_uSIka-uuWX63pu6lmAAjiRHVAINN0"
"1","2024/05/09","国内ショッピング変更依頼分","-48296","ポケットカード","未分類","未分類","","0","CvuQJcUkipJQ6LSX10sfmTBQig-RXJ5zz6d5drQ0sh8"
"1","2024/05/08","AP/Suica(携帯決済)","-5000","ポケットカード","現金・カード","電子マネー","","0","QH1MNfcA5oVYdS8-aPFWr_rXxn4Oq89cIzvrsKYiCTo"
"1","2024/05/07","AP/ダイエー下北沢","-2819","ポケットカード","食費","食料品","","0","cTvsaWRqjzEaGX0ePkt2Ypmc5MHdM4q9NDmgZf7KIJo"
"1","2024/05/07","AP/ダイソー","-220","ポケットカード","未分類","未分類","","0","-Cp5wKl7sX8_fwSZqz-_N9IbfaiGd4g8tIj8dezMcJ4"
"1","2024/05/06","サイゼリヤ","-3100","ポケットカード","食費","外食","","0","yoy3Syt7Ct-jOJ4RcldY46eqSTeUjSivDfnJcxNb3e0"
"1","2024/05/05","炭火焼鳥塚田農場 池袋東口店","-9880","ポケットカード","交際費","飲み会","","0","KCEyOMjwIu78sEPzxyzl4z-gGOzgLxf7GMolbwdPElc"
"1","2024/05/05","AP/渋谷区医師会区民健康センター桜丘診","-1870","ポケットカード","未分類","未分類","","0","yMP4EY4uKyui7LjXgc3uva10HHcfmvZISHp8u2ldYfI"
"1","2024/05/05","APPLE COM BILL","-400","ポケットカード","通信費","その他通信費","","0","AgmBTUtxAZ2abG-CR8717ZqzOCrasYyssbiGCACegSk"
"1","2024/05/04","AP/イベントご利用分","-1500","ポケットカード","未分類","未分類","","0","HIwD-H3bzv21yB4DMOFBo1E0Z0DgQLjwQmIrC6yOVPg"
"1","2024/05/04","AP/イベントご利用分","-1950","ポケットカード","未分類","未分類","","0","VYp-q8lCMA-8kFQ7_sHdneY-1WTZMl4BfgKEabnv940"
"1","2024/05/04","AP/イベントご利用分","-1200","ポケットカード","未分類","未分類","","0","0l63c83e4tnuFToxRblT6PFWibfYbkMkU9p3GF4SCEw"
"1","2024/05/04","AP/Suica(携帯決済)","-5000","ポケットカード","現金・カード","電子マネー","","0","szFSitOkij1NG6nPY2DFvY2ptJmOBiteA4hHMAFOf_A"
"1","2024/05/03","セブン イレブン","-2360","ポケットカード","食費","食料品","","0","AA5F-fLBze0B9hvuSxkk9FBzvXv4jqMfpZfP0Thf1z0"
"1","2024/05/03","AP/patisserie KOZU","-850","ポケットカード","未分類","未分類","","0","E7LSuVsyo-HeA8DvsVd--1o4IqQg9SWz_SeFN7RXoGA"
"1","2024/05/03","ジェットスターエアーウェイズ","-26680","ポケットカード","未分類","未分類","","0","W6JdnhCZcbKkh50biduFUfZuNfQwdhPtrKSyIqkbZ7o"
"1","2024/05/03","ZOZOTOWN","-4210","ポケットカード","衣服・美容","衣服","","0","Z3DbBqge4BF-KL15PUN-njmirKED7yVXNcZSZoxcIqs"
"1","2024/05/02","AP/フアミリーマートシモキタザワエキ","-580","ポケットカード","食費","食料品","","0","XKaYdqfIoj8QzRBuKiimTE7F7H6dYnV2Q2KBhi9xCag"
"1","2024/05/02","ロジウブ","-12672","ポケットカード","未分類","未分類","","0","PkftRx30ndkrS2LR0fT7WXTUyGbJNBSve7pXiNv4h24"
"1","2024/05/01","レンズオフ(株式会社パレンテ)","-2750","ポケットカード","日用品","日用品","","0","V4-wNzKcle-8auWJ5L3xZKx95rIBcHVfS6mfn5x-Des"
"1","2024/05/01","AP/ダイエー下北沢","-1540","ポケットカード","食費","食料品","","0","6nM5U_e7_lEHsKpS_iFhwa0ERzNp0K3eZXW7epA_jrk"
"1","2024/05/01","AP/フアミリーマートダイザワゴチ","-332","ポケットカード","食費","食料品","","0","3FUR_oSj0xPL3EGnYtFnHsX9AmhF6FR11YRKcpPCc4g"
"1","2024/05/01","APPLE COM BILL","-9600","ポケットカード","通信費","その他通信費","","0","4gbqGE7K8rQFBIPdfXDiHa4wetUJmcSJ1iZB099Hk40"
"1","2024/05/01","APPLE COM BILL","-1200","ポケットカード","通信費","その他通信費","","0","NPD02ZRy89XYxrScS26aU66A06_JmTZJw0KXTEIonvY"
"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2024/06/27","コウザフリカエ オリコ","-3400","横浜銀行","現金・カード","カード引き落とし","","0","bF30fA7AHuUSSy_teJ9C53DWzBewYxBUVlIqJyJW-D4"
"1","2024/06/27","コウザフリカエ ニホンガクセイシエンキ","-6600","横浜銀行","教養・教育","学費","","0","Y9kpZnipVxhFG6gz026Z0DcF1KnyH_3tpXWg-3T_FKY"
"1","2024/06/27","ゴヘンサイ","-12809","横浜銀行","住宅","ローン返済","","0","qY8tbtmvKZ5sLX4kWn_dOM0dwFztzb6Su4uN8AlIKvw"
"1","2024/06/26","コウザフリカエ DF.バイクパ-ク","-9130","横浜銀行","未分類","未分類","","0","v90aqeUgmIqMy4NxaM0guwvKqrhXoC1X0v_kH9V3PvM"
"1","2024/06/26","クレジツト ミツイスミトモカ-ド (カ","-51632","横浜銀行","現金・カード","カード引き落とし","","0","qHcUJ3BRrNNg6bnDAabPsbmRAoI2_LBNudF1S3aYxNY"
"1","2024/06/26","テスウリヨウ","-165","横浜銀行","その他","雑費","","0","--yhoeJAN6-29QJoovBId4ysleVuifkA-iDey8_1ekU"
"1","2024/06/26","インタ-ネツト クドウ リク","-10000","横浜銀行","通信費","インターネット","","0","XblzdqJZw9P1QDgiDs4Ok_1gUQBBbYL82VacvMAdhVo"
"1","2024/06/25","テスウリヨウ","-330","横浜銀行","その他","雑費","","0","HL9QauDaTo4gC3-2HJYLKFBnrDLaj10z9X0tgXXPFuo"
"1","2024/06/25","インタ-ネツト ミツイスミトモカ-ド (カ","-186596","横浜銀行","現金・カード","カード引き落とし","","0","icopKFqG2xQk9XMR9CWyyFN0mMfGHFC5MhhZWIxHhaM"
"1","2024/06/25","カブシキガイシヤライフネクスト","259672","横浜銀行","未分類","未分類","","0","set5M91zWeJFj6iddHH23399yMzgTwiGnr6r3AuDvyo"
"1","2024/06/24","弁護士ドットコム","-330","ポケットカード","未分類","未分類","","0","sfHIC-EIbEDAlcSkR0rCK0bk9hicmfXtmU6-8jNeMVA"
"1","2024/06/24","AMZ*Sow Experience","-13145","ポケットカード","交際費","交際費","","0","0FzEvWwxE3ERUFkDyN1bDFmSUjSEAiz_73MYD2Cr4wg"
"1","2024/06/23","AP/ローソン クサツバスターミナルマ","-410","ポケットカード","食費","食料品","","0","Lv5WPij7DON8IHNt8uHcJp464q3Yt2xZ5OXxYGDqdvw"
"1","2024/06/23","AP/セブンイレブングンマクサツユ","-668","ポケットカード","食費","食料品","","0","whg3sT9hjsRhtaGBufqETFnyBYBLPi8HHvdxe399gSY"
"1","2024/06/23","AP/ごま福堂 草津店","-550","ポケットカード","未分類","未分類","","0","MBwSXOtq4H0Ayhd8h-av85gA_K9afozFQmYA9ZHzUbk"
"1","2024/06/23","AP/湯川テラス","-3200","ポケットカード","未分類","未分類","","0","3KceJjTBJaEfWNibxKQ0lGoru2aqeu2lL5m7YKQMTfg"
"1","2024/06/23","AP/JS/草津温泉 湯の香本舗","-2160","ポケットカード","未分類","未分類","","0","vDvJH55v9IBMzKEevI2QBef_VywqWfgO_jMAjrNzBRo"
"1","2024/06/23","APPLE COM BILL","-400","ポケットカード","通信費","その他通信費","","0","YQfoYm5NgvrD5r4Eu7-RxWBha75cbV4BHN2XzPGwnRE"
"1","2024/06/22","AP/頼朝","-280","ポケットカード","未分類","未分類","","0","vRcGS65lCGlLuLV9Pf7Q4rgwcZa0CyOWnJP4CAJbFU4"
"1","2024/06/22","AP/セブンイレブングンマクサツユ","-859","ポケットカード","食費","食料品","","0","DU7uFhvFHsY4ahIFfzLe2Rlpg7JlHKJV7WDzcCSmBuI"
"1","2024/06/20","AP/menu/AP","-780","ポケットカード","未分類","未分類","","0","zeuUoD0EQeuyOYzRjrndENRYjIpg3_psl9OeRhOjbvY"
"1","2024/06/20","AP/Suica(携帯決済)","-5000","ポケットカード","現金・カード","電子マネー","","0","c0RGSWcBn6GRDcjTBN3mrFHwmQsO04NTx0KyKPTBgWc"
"1","2024/06/20","AP/セブンイレブンシモキタザワエ","-694","ポケットカード","食費","食料品","","0","yOoBtv5D3LYSBpAIPhStIknoe9xOKAkwBqMhpfH5SFk"
"1","2024/06/20","AP/TWITTER PAID FEAT","-980","ポケットカード","未分類","未分類","","0","uvcGkNfT1sY9J-rpman7Y8EPA_Tr-gETH_I8GZo_xMk"
"1","2024/06/20","ジドウキ","-20000","横浜銀行","現金・カード","ATM引き出し","","0","lZ4JO5fIiQDB2bf8fh0uIWcn3HSwtHPr99D28CASsNU"
"1","2024/06/19","割引","414","Amazon.co.jp","未分類","未分類","","0","BPwvRdvHErZA8FuCFWaz8dRZUO_DfLC1PsuU0ppcEWo"
"1","2024/06/19","NILE ヘアミルク 洗い流さないトリートメント ミドルダメージ シルキースムース(アップルフラワーの香り) 販売: NILE PROMOTION","-2270","Amazon.co.jp","未分類","未分類","","0","zkHvYpoerQ41ST3p4-t19da4RazVJKnmL1bfwRkzRH4"
"1","2024/06/19","AP/マクドナルドモバイルオーダー/AP","-560","ポケットカード","食費","外食","","0","HaPxMBmyZQHJE47IwkAStS-3rZkits4yMmhmY76YWiw"
"1","2024/06/19","AP/ダイエー下北沢","-501","ポケットカード","食費","食料品","","0","vNrP7cZ5vPpX4lz71cEHszNgiOcikdZ5fdEkeyLTIY4"
"1","2024/06/19","AP/フアミリーマートシモキタザワエキ","-580","ポケットカード","食費","食料品","","0","Q_vZX1JN9YUoFMl4Z6efikCgln2QR10cF9IWAF4JfDY"
"1","2024/06/19","AP/MD下北沢店","-313","ポケットカード","未分類","未分類","","0","AUwORz8bv-MJtWonKFp-MIJ-16j8ZxUXJfErMLlHG5w"
"0","2024/06/19","AMAZON.CO.JP","-1856","ポケットカード","教養・教育","書籍","","1","hKUbbnI_e6kSNzc7vMFd3-RI6A8Ngh4qSq6_YP5DnSE"
"1","2024/06/18","STUDIO BAYD","-990","ポケットカード","未分類","未分類","","0","90lUjNaCuPO-flS3nLOs77X8PDarmCiDf3329HUtczY"
"1","2024/06/17","AP/フアミリーマートシモキタザワエキ","-580","ポケットカード","食費","食料品","","0","OmSug5nSLchfWutfuHbZreuE7Ck7yKYBd56ICKi2ZLU"
"1","2024/06/16","割引","590","Amazon.co.jp","未分類","未分類","","0","s5Yyd_qxU2RU-fWr5GK69-4xnXKqUt8htWAsliyWgUM"
